return_id,order_id,return_date,return_reason,refund_amount
RET-00046,ORD-000939,2026-07-15,Wrong item,253.09
RET-00047,ORD-000955,2026-05-29,Damaged,66.94
RET-00048,ORD-000958,2026-06-11,Late delivery,53.12
RET-00049,ORD-000976,2026-07-05,Not as expected,120.82
RET-00050,ORD-000981,2026-04-24,Changed mind,222.52
RET-00051,ORD-000984,2026-07-09,Not as expected,42.66
RET-00052,ORD-001036,2026-07-21,Wrong item,239.41
RET-00053,ORD-001040,2026-06-02,Damaged,240.65
RET-00054,ORD-001048,2026-06-16,Changed mind,186.98
RET-00055,ORD-001067,2026-05-22,Damaged,83.56
RET-00056,ORD-001088,2026-05-21,Wrong item,96.71
RET-00057,ORD-001092,2026-06-19,Changed mind,263.03
RET-00058,ORD-001112,2026-04-02,Late delivery,76.83
RET-00059,ORD-001130,2026-06-07,Not as expected,83.14
RET-00060,ORD-001175,2026-07-09,Late delivery,65.21
RET-00061,ORD-001183,2026-05-28,Not as expected,253.95
RET-00062,ORD-001226,2026-03-31,Not as expected,100.63
RET-00063,ORD-001247,2026-07-20,Wrong item,106.55
RET-00064,ORD-001254,2026-03-27,Changed mind,147.86
RET-00065,ORD-001276,2026-08-05,Damaged,182.17
RET-00066,ORD-001329,2026-03-20,Changed mind,226.95
RET-00067,ORD-001338,2026-08-07,Changed mind,154.32
RET-00068,ORD-001370,2026-05-29,Damaged,196.16
RET-00069,ORD-001405,2026-04-17,Changed mind,238.84
RET-00070,ORD-001409,2026-04-20,Changed mind,67.66
RET-00071,ORD-001420,2026-08-05,Changed mind,34.22
RET-00072,ORD-001439,2026-02-14,Damaged,82.8
RET-00073,ORD-001464,2026-07-16,Not as expected,71.09
RET-00074,ORD-001501,2026-03-19,Not as expected,73.32
RET-00075,ORD-001521,2026-04-29,Damaged,34.31
RET-00076,ORD-001523,2026-07-05,Damaged,124.78
RET-00077,ORD-001530,2026-03-05,Not as expected,83.49
RET-00078,ORD-001544,2026-03-07,Not as expected,113.71
RET-00079,ORD-001557,2026-04-02,Changed mind,322.24
RET-00080,ORD-001575,2026-08-10,Damaged,260.95
RET-00081,ORD-001586,2026-05-26,Wrong item,75.42
RET-00082,ORD-001590,2026-04-07,Not as expected,133.94
RET-00083,ORD-001592,2026-02-12,Changed mind,43.8
RET-00084,ORD-001608,2026-08-09,Not as expected,69.66
RET-00085,ORD-001664,2026-08-05,Damaged,164.3
RET-00086,ORD-001722,2026-06-11,Not as expected,91.52
RET-00087,ORD-001789,2026-07-19,Late delivery,71.42
RET-00088,ORD-001804,2026-03-30,Damaged,60.38
RET-00089,ORD-001829,2026-05-09,Changed mind,223.84
RET-00090,ORD-001846,2026-06-10,Changed mind,107.05
RET-00091,ORD-001862,2026-04-22,Late delivery,110.32
RET-00092,ORD-001879,2026-08-27,Not as expected,95.03
RET-00093,ORD-001880,2026-02-17,Not as expected,86.71
RET-00094,ORD-001887,2026-04-17,Late delivery,121.07
RET-00095,ORD-001893,2026-04-03,Wrong item,81.94
RET-00096,ORD-001914,2026-06-05,Damaged,147.08
RET-00097,ORD-001921,2026-05-03,Damaged,113.48
RET-00098,ORD-001940,2026-07-01,Damaged,75.16
RET-00099,ORD-001990,2026-03-03,Damaged,48.49
RET-00100,ORD-001993,2026-02-19,Wrong item,137.11
RET-00101,ORD-001998,2026-05-28,Changed mind,210.95
RET-00102,ORD-002007,2026-04-30,Late delivery,108.54
RET-00103,ORD-002040,2026-07-07,Damaged,130.18
RET-00104,ORD-002054,2026-07-03,Changed mind,74.23
RET-00105,ORD-002061,2026-03-09,Late delivery,80.83
RET-00106,ORD-002084,2026-05-29,Wrong item,190.4
RET-00107,ORD-002089,2026-04-09,Changed mind,395.29
RET-00108,ORD-002094,2026-02-23,Wrong item,44.56
RET-00109,ORD-002110,2026-05-23,Not as expected,80.02
RET-00110,ORD-002120,2026-06-01,Damaged,93.9
RET-00111,ORD-002136,2026-05-10,Wrong item,137.87
RET-00112,ORD-002184,2026-03-13,Not as expected,71.22
RET-00113,ORD-002221,2026-02-25,Changed mind,70.75
RET-00114,ORD-002232,2026-07-15,Damaged,81.42
RET-00115,ORD-002254,2026-07-01,Wrong item,354.86
RET-00116,ORD-002267,2026-07-23,Late delivery,72.0
RET-00117,ORD-002276,2026-07-28,Not as expected,80.92
RET-00118,ORD-002323,2026-02-26,Not as expected,65.19
RET-00119,ORD-002340,2026-04-30,Not as expected,42.06
RET-00120,ORD-002346,2026-08-01,Changed mind,121.15
RET-00121,ORD-002354,2026-04-20,Damaged,72.65
RET-00122,ORD-002382,2026-07-02,Damaged,130.85
RET-00123,ORD-002388,2026-06-14,Late delivery,134.03
RET-00124,ORD-002401,2026-05-09,Not as expected,39.31
RET-00125,ORD-002407,2026-07-26,Not as expected,114.47
RET-00126,ORD-002439,2026-04-09,Not as expected,213.75
RET-00127,ORD-002477,2026-06-22,Damaged,107.38
RET-00128,ORD-002531,2026-04-28,Late delivery,85.22
RET-00129,ORD-002557,2026-04-03,Damaged,82.11
RET-00130,ORD-002575,2026-03-05,Damaged,37.08
RET-00131,ORD-002585,2026-04-25,Changed mind,271.06
RET-00132,ORD-002649,2026-04-10,Not as expected,106.28
RET-00133,ORD-002658,2026-05-29,Not as expected,75.04
RET-00134,ORD-002671,2026-02-17,Changed mind,251.95
RET-00135,ORD-002680,2026-07-08,Not as expected,88.77
RET-00136,ORD-002682,2026-04-24,Not as expected,196.93
RET-00137,ORD-002686,2026-03-06,Changed mind,47.09
RET-00138,ORD-002703,2026-07-17,Wrong item,443.1
RET-00139,ORD-002714,2026-06-27,Changed mind,68.17
RET-00140,ORD-002723,2026-05-10,Wrong item,119.45
RET-00141,ORD-002826,2026-03-03,Changed mind,176.42
RET-00142,ORD-002878,2026-08-25,Not as expected,77.25
RET-00143,ORD-002886,2026-04-16,Late delivery,81.6
RET-00144,ORD-002892,2026-08-20,Changed mind,40.85
RET-00145,ORD-002939,2026-05-11,Changed mind,46.14
RET-00146,ORD-002971,2026-03-12,Changed mind,160.46
RET-00147,ORD-002981,2026-02-28,Wrong item,43.04
RET-00148,ORD-002992,2026-04-24,Damaged,147.59
RET-00149,ORD-002999,2026-03-17,Not as expected,149.73
RET-00150,ORD-003012,2026-02-20,Not as expected,333.76
RET-00151,ORD-003024,2026-08-25,Damaged,218.45
RET-00152,ORD-003039,2026-06-14,Late delivery,77.01
RET-00153,ORD-003044,2026-07-05,Damaged,74.45
RET-00154,ORD-003046,2026-07-03,Wrong item,92.39
RET-00155,ORD-003051,2026-07-02,Changed mind,222.5
RET-00156,ORD-003071,2026-07-09,Late delivery,142.94
RET-00157,ORD-003083,2026-05-21,Wrong item,376.48
RET-00158,ORD-003086,2026-08-21,Changed mind,235.83
RET-00159,ORD-003107,2026-05-04,Late delivery,82.69
RET-00160,ORD-003110,2026-08-10,Damaged,141.04
RET-00161,ORD-003121,2026-07-05,Damaged,41.64
RET-00162,ORD-003145,2026-08-17,Wrong item,105.94
RET-00163,ORD-003196,2026-08-08,Not as expected,148.35
RET-00164,ORD-003223,2026-03-18,Late delivery,101.19
RET-00165,ORD-003225,2026-07-23,Damaged,449.61
RET-00166,ORD-003247,2026-06-02,Late delivery,39.83
RET-00167,ORD-003254,2026-05-18,Changed mind,185.41
RET-00168,ORD-003271,2026-08-01,Late delivery,193.26
RET-00169,ORD-003275,2026-06-29,Damaged,88.59
RET-00170,ORD-003280,2026-06-18,Damaged,118.38
RET-00171,ORD-003316,2026-05-13,Wrong item,256.23
RET-00172,ORD-003320,2026-05-05,Changed mind,217.23
RET-00173,ORD-003328,2026-04-19,Changed mind,34.62
RET-00174,ORD-003355,2026-05-02,Changed mind,157.99
RET-00175,ORD-003359,2026-06-30,Changed mind,154.15
RET-00176,ORD-003360,2026-02-11,Late delivery,509.54
RET-00177,ORD-003364,2026-05-12,Changed mind,162.98
RET-00178,ORD-003419,2026-03-19,Late delivery,106.24
RET-00179,ORD-003429,2026-03-16,Damaged,151.27
RET-00180,ORD-003456,2026-04-30,Damaged,41.31
RET-00181,ORD-003543,2026-06-16,Changed mind,100.76
RET-00182,ORD-003549,2026-03-11,Damaged,56.91
RET-00183,ORD-003562,2026-04-09,Damaged,245.02
RET-00184,ORD-003608,2026-03-30,Not as expected,72.68
RET-00185,ORD-003624,2026-06-22,Damaged,300.85
RET-00186,ORD-003633,2026-05-01,Not as expected,60.78
RET-00187,ORD-003635,2026-03-11,Changed mind,77.81
RET-00188,ORD-003658,2026-08-05,Not as expected,69.9
RET-00189,ORD-003678,2026-05-07,Damaged,184.95
RET-00190,ORD-003680,2026-04-18,Damaged,79.56
RET-00191,ORD-003690,2026-06-22,Changed mind,192.92
RET-00192,ORD-003696,2026-05-28,Not as expected,75.9
RET-00193,ORD-003711,2026-05-10,Late delivery,55.8
RET-00194,ORD-003715,2026-05-23,Damaged,130.14
RET-00195,ORD-003727,2026-06-03,Late delivery,88.95
RET-00196,ORD-003730,2026-03-25,Not as expected,42.32
RET-00197,ORD-003745,2026-03-04,Not as expected,143.61
RET-00198,ORD-003748,2026-03-09,Damaged,115.71
RET-00199,ORD-003749,2026-06-27,Changed mind,39.55
RET-00200,ORD-003751,2026-05-03,Not as expected,88.95
RET-00201,ORD-003753,2026-03-02,Damaged,114.78
RET-00202,ORD-003755,2026-07-03,Late delivery,70.78
RET-00203,ORD-003770,2026-07-16,Not as expected,58.33
RET-00204,ORD-003771,2026-05-15,Damaged,228.81
RET-00205,ORD-003800,2026-04-02,Wrong item,65.85
RET-00206,ORD-003802,2026-05-15,Damaged,124.81
RET-00207,ORD-003811,2026-08-15,Wrong item,132.37
RET-00208,ORD-003818,2026-08-10,Late delivery,46.97
RET-00209,ORD-003822,2026-06-01,Not as expected,106.46
RET-00210,ORD-003825,2026-03-31,Changed mind,78.9
RET-00211,ORD-003830,2026-03-06,Not as expected,274.41
RET-00212,ORD-003838,2026-06-14,Not as expected,143.39
RET-00213,ORD-003840,2026-04-11,Not as expected,117.68
RET-00214,ORD-003842,2026-04-01,Late delivery,62.23
RET-00215,ORD-003844,2026-04-23,Wrong item,200.07
RET-00216,ORD-003847,2026-08-01,Damaged,103.15
RET-00217,ORD-003855,2026-07-13,Not as expected,35.85
RET-00218,ORD-003857,2026-04-19,Not as expected,138.12
RET-00219,ORD-003862,2026-03-29,Not as expected,56.07
RET-00220,ORD-003865,2026-03-09,Not as expected,62.55
RET-00221,ORD-003869,2026-05-04,Damaged,74.78
RET-00222,ORD-003878,2026-08-18,Damaged,149.14
RET-00223,ORD-003917,2026-02-16,Wrong item,135.96
RET-00224,ORD-003935,2026-05-08,Changed mind,114.47
RET-00225,ORD-003942,2026-07-05,Damaged,77.75
RET-00226,ORD-003943,2026-07-01,Damaged,217.63
RET-00227,ORD-003956,2026-07-13,Damaged,73.42
RET-00228,ORD-003976,2026-06-11,Changed mind,58.14
RET-00229,ORD-004005,2026-03-28,Damaged,201.92
RET-00230,ORD-004017,2026-05-15,Damaged,38.16
RET-00231,ORD-004018,2026-05-25,Late delivery,188.62
RET-00232,ORD-004034,2026-04-27,Wrong item,218.92
RET-00233,ORD-004047,2026-04-28,Late delivery,72.86
RET-00234,ORD-004082,2026-06-24,Changed mind,38.46
RET-00235,ORD-004085,2026-05-04,Damaged,142.6
RET-00236,ORD-004128,2026-06-11,Late delivery,105.76
RET-00237,ORD-004131,2026-03-17,Damaged,135.87
RET-00238,ORD-004144,2026-06-13,Wrong item,250.66
RET-00239,ORD-004152,2026-07-20,Wrong item,98.42
